state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level,effective_to_date,Year,Month,Day
Washington,0,1,Bachelor,Employed,F,Suburban,Married,Corporate Auto,1,Agent,Sports Car,Medsize,3,2011-02-24,2011-01-01,02,24
Arizona,0,2,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,3,Agent,SUV,Medsize,3,2011-01-31,2011-01-01,01,31
Nevada,0,3,Bachelor,Employed,F,Suburban,Married,Personal Auto,1,Agent,Sports Car,Medsize,3,2011-02-19,2011-01-01,02,19
California,0,1,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,1,Call Center,Luxury SUV,Medsize,2,2011-01-20,2011-01-01,01,20
Washington,0,1,Bachelor,Employed,M,Rural,Single,Personal Auto,1,Agent,SUV,Medsize,1,2011-02-03,2011-01-01,02,03
Oregon,1,1,Bachelor,Employed,F,Rural,Married,Personal Auto,2,Web,Sports Car,Medsize,3,2011-01-25,2011-01-01,01,25
Oregon,1,1,College,Employed,F,Suburban,Married,Corporate Auto,1,Agent,SUV,Medsize,3,2011-02-24,2011-01-01,02,24
Arizona,0,3,Master,Unemployed,M,Urban,Single,Corporate Auto,1,Agent,SUV,Medsize,3,2011-01-18,2011-01-01,01,18
Oregon,1,1,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,1,Agent,SUV,Medsize,3,2011-01-26,2011-01-01,01,26
Oregon,0,2,College,Employed,F,Urban,Married,Special Auto,2,Branch,SUV,Medsize,2,2011-02-17,2011-01-01,02,17
California,0,1,College,Unemployed,M,Suburban,Single,Personal Auto,1,Agent,SUV,Small,3,2011-02-21,2011-01-01,02,21
California,0,1,College,Unemployed,F,Suburban,Married,Personal Auto,2,Agent,Luxury SUV,Medsize,3,2011-01-06,2011-01-01,01,06
California,0,3,Master,Employed,M,Urban,Married,Corporate Auto,2,Agent,SUV,Medsize,1,2011-02-06,2011-01-01,02,06
Arizona,1,1,College,Employed,M,Suburban,Married,Corporate Auto,2,Branch,Luxury SUV,Medsize,3,2011-01-10,2011-01-01,01,10
California,0,1,College,Employed,M,Urban,Single,Corporate Auto,4,Call Center,SUV,Medsize,3,2011-01-18,2011-01-01,01,18
Oregon,0,1,Bachelor,Employed,F,Rural,Married,Corporate Auto,2,Branch,SUV,Medsize,2,2011-01-17,2011-01-01,01,17
Nevada,0,1,College,Medical Leave,M,Suburban,Married,Personal Auto,2,Call Center,Sports Car,Medsize,3,2011-02-06,2011-01-01,02,06
California,0,1,College,Medical Leave,M,Suburban,Married,Personal Auto,3,Call Center,Luxury SUV,Medsize,2,2011-01-05,2011-01-01,01,05
Oregon,0,1,College,Employed,M,Urban,Married,Personal Auto,2,Branch,SUV,Medsize,2,2011-02-27,2011-01-01,02,27
California,0,3,College,Employed,F,Suburban,Married,Corporate Auto,1,Call Center,SUV,Small,2,2011-01-14,2011-01-01,01,14
Oregon,0,1,College,Employed,M,Suburban,Single,Personal Auto,1,Branch,Sports Car,Medsize,2,2011-02-19,2011-01-01,02,19
Washington,0,2,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,4,Call Center,SUV,Medsize,3,2011-01-21,2011-01-01,01,21
Arizona,1,1,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,1,Agent,SUV,Medsize,3,2011-01-26,2011-01-01,01,26
Nevada,0,1,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,1,Branch,SUV,Medsize,3,2011-02-24,2011-01-01,02,24
California,0,1,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,2,Branch,SUV,Medsize,2,2011-02-05,2011-01-01,02,05
Oregon,0,1,College,Employed,M,Suburban,Married,Personal Auto,2,Call Center,SUV,Large,3,2011-01-29,2011-01-01,01,29
California,0,3,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,1,Agent,SUV,Small,3,2011-02-28,2011-01-01,02,28
Washington,0,2,Master,Disabled,F,Urban,Married,Corporate Auto,1,Branch,Luxury SUV,Medsize,1,2011-02-12,2011-01-01,02,12
Arizona,0,3,College,Employed,F,Suburban,Single,Personal Auto,1,Call Center,SUV,Large,3,2011-02-02,2011-01-01,02,02
Oregon,0,2,Master,Employed,F,Suburban,Married,Personal Auto,2,Branch,SUV,Small,3,2011-02-07,2011-01-01,02,07
Arizona,0,1,College,Employed,M,Suburban,Married,Personal Auto,4,Call Center,SUV,Small,2,2011-02-28,2011-01-01,02,28
Nevada,0,2,College,Employed,M,Urban,Married,Corporate Auto,2,Agent,Luxury SUV,Medsize,2,2011-01-22,2011-01-01,01,22
California,0,1,Bachelor,Unemployed,M,Urban,Married,Personal Auto,1,Call Center,SUV,Medsize,3,2011-01-25,2011-01-01,01,25
Washington,0,1,Bachelor,Employed,M,Suburban,Married,Corporate Auto,1,Agent,Sports Car,Small,2,2011-01-18,2011-01-01,01,18
Oregon,0,1,Bachelor,Employed,F,Rural,Married,Corporate Auto,3,Web,SUV,Medsize,1,2011-02-13,2011-01-01,02,13
Arizona,0,1,College,Employed,F,Urban,Married,Personal Auto,1,Branch,SUV,Medsize,1,2011-01-15,2011-01-01,01,15
California,0,3,Bachelor,Employed,M,Suburban,Married,Personal Auto,1,Agent,SUV,Small,3,2011-01-08,2011-01-01,01,08
Oregon,0,2,Master,Employed,F,Suburban,Married,Personal Auto,2,Web,SUV,Small,3,2011-02-06,2011-01-01,02,06
Oregon,0,2,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,3,Agent,Sports Car,Small,2,2011-01-25,2011-01-01,01,25
Arizona,0,1,College,Employed,M,Rural,Divorced,Personal Auto,1,Call Center,SUV,Medsize,3,2011-02-07,2011-01-01,02,07
Nevada,0,1,College,Unemployed,F,Suburban,Married,Corporate Auto,3,Call Center,Sports Car,Medsize,3,2011-01-18,2011-01-01,01,18
Oregon,1,1,College,Employed,F,Rural,Single,Corporate Auto,2,Agent,Sports Car,Medsize,3,2011-01-11,2011-01-01,01,11
California,1,2,Bachelor,Employed,F,Suburban,Married,Personal Auto,2,Agent,SUV,Small,2,2011-01-28,2011-01-01,01,28
